image,side,W_cm,H_cm,MA_cm,ma_cm,D_cm,angle_deg,ppcm_px_per_cm
i001_crop_group.jpg,left(#1),8.1,6.75,6.555125427246093,7.55547981262207,8.222087287902832,77.87844848632812,6.666666666666667
i001_crop_group.jpg,right(#2),6.449999999999999,6.449999999999999,6.160950851440429,7.130850791931152,7.415253067016601,38.45201873779297,6.666666666666667
i002_crop_group.jpg,left(#1),7.024390243902439,6.585365853658537,6.436630062940645,6.901414824695122,7.595419720905584,102.92213439941406,6.833333333333333
i002_crop_group.jpg,right(#2),5.707317073170732,6.0,5.3933537180830795,5.837946077672447,6.175916346108042,128.21730041503906,6.833333333333333
i003_crop_group.jpg,left(#1),7.116279069767441,6.13953488372093,5.965269044388172,7.036118263422057,7.271529086800508,90.3063735961914,7.166666666666667
i003_crop_group.jpg,right(#2),5.5813953488372094,5.720930232558139,5.613007124080214,6.196540300236191,6.536090762116188,143.58636474609375,7.166666666666667
i004_crop_group.jpg,left(#1),8.926829268292684,7.170731707317073,6.9850259176114715,8.66163560820789,9.159471465320122,83.64340209960938,6.833333333333333
i004_crop_group.jpg,right(#2),7.024390243902439,6.878048780487805,6.895159651593464,7.237515519304973,7.656348623880526,167.59564208984375,6.833333333333333
i005_crop_group.jpg,left(#1),7.05,6.8999999999999995,6.647610855102538,7.2476966857910154,7.635745239257812,105.24821472167969,6.666666666666667
i005_crop_group.jpg,right(#2),7.5,6.8999999999999995,6.883074760437012,7.405776786804199,7.787934494018554,48.40627670288086,6.666666666666667
i006_crop_group.jpg,left(#1),9.136363636363637,8.181818181818182,8.017155387184838,8.545881271362305,9.340156901966441,56.859657287597656,7.333333333333333
i006_crop_group.jpg,right(#2),7.909090909090909,6.818181818181818,6.68895149230957,7.878167412497781,8.396449002352629,73.46070098876953,7.333333333333333
i007_crop_group.jpg,left(#1),8.266666666666667,6.666666666666667,6.361086527506511,7.763252766927083,8.33445790608724,88.77913665771484,7.5
i007_crop_group.jpg,right(#2),5.466666666666667,5.6,5.361247253417969,5.804533386230469,5.924539693196615,150.82501220703125,7.5
i008_crop_group.jpg,left(#1),7.714285714285714,7.285714285714286,7.107293265206473,7.647919791085379,7.936581747872489,66.15908813476562,7.0
i008_crop_group.jpg,right(#2),6.714285714285714,6.714285714285714,6.784399850027902,6.920401436941964,7.069647107805524,85.25472259521484,7.0
i009_crop_group.jpg,left(#1),7.0,6.0,5.771320887974331,6.979699816022601,7.3377500261579245,91.06541442871094,7.0
i009_crop_group.jpg,right(#2),6.428571428571429,5.0,4.612274714878628,6.481874193464007,6.6412778581891745,65.2047119140625,7.0
i010_crop_group.jpg,left(#1),6.714285714285714,6.142857142857143,6.068820408412388,6.755512237548828,7.430670601981027,48.47978591918945,7.0
i010_crop_group.jpg,right(#2),5.857142857142857,6.285714285714286,5.848422459193638,6.43205315726144,6.776337759835379,25.695892333984375,7.0
i011_crop_group.jpg,left(#1),8.375,6.375,6.07625150680542,8.010374069213867,8.757842063903809,114.38037109375,8.0
i011_crop_group.jpg,right(#2),6.5,6.375,6.3976969718933105,6.544613361358643,6.644280433654785,77.20802307128906,8.0
i012_crop_group.jpg,left(#1),7.090909090909091,6.272727272727273,4.959890192205256,7.884078806096857,7.578708822076972,120.01667785644531,7.333333333333333
i012_crop_group.jpg,right(#2),6.272727272727273,6.272727272727273,5.489914980801669,6.507320230657404,6.6176771684126425,130.10047912597656,7.333333333333333
i013_crop_group.jpg,left(#1),8.181818181818182,6.954545454545455,6.885709242387252,7.924213756214489,8.370051644065164,103.35334014892578,7.333333333333333
i013_crop_group.jpg,right(#2),6.681818181818182,6.0,5.975525769320401,6.627006704157049,6.988190044056286,102.98200988769531,7.333333333333333
i014_crop_group.jpg,left(#1),7.090909090909091,5.7272727272727275,5.677161130038175,6.954082489013672,7.2289794575084345,87.54795837402344,7.333333333333333
i014_crop_group.jpg,right(#2),5.590909090909091,6.545454545454546,5.560030330311169,6.6608874581076885,6.943869157270952,176.0637664794922,7.333333333333333
i015_crop_group.jpg,left(#1),6.409090909090909,6.136363636363637,5.976092251864347,6.517977801236239,6.766389500011098,110.28926086425781,7.333333333333333
i015_crop_group.jpg,right(#2),5.454545454545455,5.590909090909091,5.176789543845437,5.761119669133967,5.929007096724077,141.1373291015625,7.333333333333333
i016_crop_group.jpg,left(#1),8.863636363636363,7.5,7.176373568448153,7.7279886765913535,8.947869040749291,90.57180786132812,7.333333333333333
i016_crop_group.jpg,right(#2),6.818181818181818,6.818181818181818,6.678865085948598,6.950942646373402,7.117480711503463,26.064470291137695,7.333333333333333
i017_crop_group.jpg,left(#1),7.565217391304348,6.782608695652174,6.8037932022758145,7.427306133767833,7.973034568454908,95.10502624511719,7.666666666666667
i017_crop_group.jpg,right(#2),7.0434782608695645,6.782608695652174,6.852688830831776,7.199864760689113,7.420243636421535,104.54171752929688,7.666666666666667
i018_crop_group.jpg,left(#1),8.08695652173913,6.0,5.731305661408797,7.153648542321246,8.17097804857337,83.82791137695312,7.666666666666667
i018_crop_group.jpg,right(#2),5.608695652173913,5.608695652173913,5.481372169826342,5.749394789985988,6.315009573231572,60.935909271240234,7.666666666666667
i019_crop_group.jpg,left(#1),7.695652173913043,6.260869565217391,6.08460865850034,7.127919736115828,7.713343744692595,92.20246124267578,7.666666666666667
i019_crop_group.jpg,right(#2),5.869565217391304,5.217391304347826,5.528228262196416,5.983694657035496,6.12832210374915,80.04354095458984,7.666666666666667
i020_crop_group.jpg,left(#1),6.4897959183673475,6.367346938775511,6.424968641631458,6.596760341099331,7.128855491171079,88.29683685302734,8.166666666666666
i020_crop_group.jpg,right(#2),5.387755102040817,5.387755102040817,5.222980265714685,5.439563673369739,5.59203120640346,111.83289337158203,8.166666666666666
i021_crop_group.jpg,left(#1),7.6,6.8,6.658522033691407,7.335703531901042,7.753234354654948,82.40221405029297,7.5
i021_crop_group.jpg,right(#2),6.133333333333334,6.666666666666667,6.406444803873698,7.086007690429687,7.2790074666341145,144.3133544921875,7.5
i022_crop_group.jpg,left(#1),8.142857142857142,6.714285714285714,6.591703142438616,7.900269644601004,8.403137751988002,84.10916137695312,7.0
i022_crop_group.jpg,right(#2),6.714285714285714,6.571428571428571,6.808137621198382,6.911429268973214,7.181780678885324,96.43612670898438,7.0
i023_crop_group.jpg,left(#1),8.461538461538462,6.769230769230769,6.494337228628305,7.980308532714844,8.913952167217548,101.589599609375,6.5
i023_crop_group.jpg,right(#2),6.3076923076923075,6.3076923076923075,6.23033435528095,6.60662607046274,6.776833754319411,128.7394561767578,6.5
i024_crop_group.jpg,left(#1),8.78048780487805,7.463414634146342,7.37680351443407,8.644814468011624,9.29385134068931,82.39109802246094,6.833333333333333
i024_crop_group.jpg,right(#2),6.0,7.024390243902439,6.388347718773819,7.128793297744379,7.290803118449886,161.99807739257812,6.833333333333333
i025_crop_group.jpg,left(#1),8.285714285714286,8.0,7.645022800990513,8.439398629324776,8.75636727469308,119.06495666503906,7.0
i025_crop_group.jpg,right(#2),7.714285714285714,7.857142857142857,7.747271401541574,8.066125052315849,8.196520669119698,179.69403076171875,7.0
i026_crop_group.jpg,left(#1),8.428571428571429,7.142857142857143,6.939317975725446,8.377782549176898,8.764520917619977,108.16138458251953,7.0
i026_crop_group.jpg,right(#2),6.428571428571429,6.714285714285714,6.553286416190011,6.801074981689453,7.2319134303501675,172.80731201171875,7.0
i027_crop_group.jpg,left(#1),9.209302325581396,7.674418604651162,7.351610582928324,8.846088143282158,9.424916467001271,104.10549926757812,7.166666666666667
i027_crop_group.jpg,right(#2),7.953488372093023,7.953488372093023,7.664374418036882,8.046666699786519,8.33031410394713,26.887920379638672,7.166666666666667
i028_crop_group.jpg,left(#1),9.285714285714286,7.571428571428571,7.548006875174386,9.383102416992188,9.610314505440849,88.02391815185547,7.0
i028_crop_group.jpg,right(#2),8.0,8.285714285714286,7.933927808489118,8.277574266706194,8.50955091203962,151.8070526123047,7.0
i029_crop_group.jpg,left(#1),6.954545454545455,6.272727272727273,6.267959247935902,6.696374026211825,7.153480182994496,90.07913970947266,7.333333333333333
